name,text
수퍼롹커🦋 지치지 않기🙏,"RT @banachopie: 국정원은 얼마전까지 계속 월북이 아닌 것처럼 애매하게 행동하더니.
갑자기 왜 저러지?
그리고 월북 아니라고 호들갑 지랄난장을 떨던 기레기들은 왜 모두 아가리 닥치고 있는데?
이젠 월북 맞다고 호들갑을 떨라고 기레기들아🤬"
포니,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
문재인 대통령+탈당권당물루=문통빼고 다팬다,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
김경수,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
친환경론자-#신당창당,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
김민혁,"RT @yellowknife000: #김기현 ""더 탐사 공범 김의겸 스토킹 감시용 전자발찌 채워야""

이거 완전 개토레이구만?!?😡🤬
누구한테 뭘 채워??

니 콧방맹이에 소 코뚜레 채우고 와서 얘기해라 가가멜색히야😡🤬 https://t.co/QRc…"
4️⃣ 시커먼스,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
장jsn,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
송암 조창우,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
토리아빠(기레기 사냥꾼),"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
거제사랑,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
서비네,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
송파오소리,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
인테그랄,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
아이야~,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
방탄전사_방림💜_2025년까지고무신,"RT @kmina74: 이제서야 알아버렸다…
울 곰돌이 근들즈므르🤬🔥🔥

뷔 셀린느
뷔 크리스마스트리
뷔 사랑해
뷔 음색
뷔 태태어
뷔 세일미
뷔 초코찐빵
뷔 자두
뷔 곰돌이
뷔 김스치면인연"
포니,"RT @righteously_3: 더탐사 가발취재 법원항고기각.🤬
한달에 취재차 두세번 따라간게 스토킹이란얘기….참..대단하다~ https://t.co/cYZqIEbRok"
최강처돌이,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
(SLOW) MagicShop20210621,"@yuni940218_ 쥐어패고 싶은 사람이 하나 더 늘었습니다🤬
뷔 셀린느
뷔 크리스마스트리
뷔 사랑해
뷔 음색
뷔 태태어
뷔 세일미
뷔 초코찐빵
뷔 자두
뷔 곰돌이
뷔 김스치면인연
뷔 조각미남
뷔 스티그… https://t.co/Pq2Z4e5y3f"
하늘바람,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
(SLOW) MagicShop20210621,"@yesimarmy0901 우리 태형이 발끝에도 못 미칠 것들이 🤬

뷔 셀린느
뷔 크리스마스트리
뷔 사랑해
뷔 음색
뷔 태태어
뷔 세일미
뷔 초코찐빵
뷔 자두
뷔 곰돌이
뷔 김스치면인연
뷔 조각미남
뷔 스… https://t.co/bWmPwONMth"
개고기와 막새끼의 쌈이 재밌겠군 ㅋ,"RT @Mohaniiiiii: 아... 토나와요. 🤬
진짜 돌 18만개 던지고 싶음. https://t.co/1kpzRXg7Gx"
(SLOW) MagicShop20210621,"RT @kiona_btkvs: 우리애 좀 제발 그만 건드려라🤬🤬🤬🤬

뷔 셀린느
뷔 크리스마스크리
뷔 사랑해
뷔 음색
뷔 태태어
뷔 세일미
뷔 초코찐빵
뷔 자두
뷔 곰돌이
뷔 김스치면인연
뷔 조각미남
뷔 스티그마
뷔 싱귤래리티
뷔 이너차일드
뷔 네시…"
오나단,"RT @banachopie: 국정원은 얼마전까지 계속 월북이 아닌 것처럼 애매하게 행동하더니.
갑자기 왜 저러지?
그리고 월북 아니라고 호들갑 지랄난장을 떨던 기레기들은 왜 모두 아가리 닥치고 있는데?
이젠 월북 맞다고 호들갑을 떨라고 기레기들아🤬"
Hjleekim,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
